OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
SUANOTA;APP_BLACK_LIST_DEVICE;0;N;5;CD_USUARIO_BLOQUEIO;VARCHAR2;150;N;;0;0;0;NO;Usu�rio SET que bloqueou o device;SYS_C00247360 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;0;N;7;CD_USUARIO_DESBLOQUEIO;VARCHAR2;150;Y;;0;0;0;NO;Usu�rio SET que desbloqueou o device; (: )
SUANOTA;APP_BLACK_LIST_DEVICE;0;N;4;ID_SISTEMA;NUMBER;22;N;0;0;0;0;NO;FK relacionada a APP_SISTEMA.ID_SISTEMA;APPBLLD_APPSIST_FK (FOREIGN KEY: ENABLED)- SYS_C00247359 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;0;N;1;NU_UUID_BLOQUEADO;VARCHAR2;36;N;;0;0;0;NO;N�mero do UUID do device bloqueado;SYS_C00247356 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;0;N;3;ST_BLOQUEIO;VARCHAR2;2;N;;0;0;0;NO;"Status do bloqueio do device
AT - Bloqueio Ativo
IN - Bloqueio Inativo";SYS_C00247358 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;0;N;6;TM_BLOQUEIO;DATE;7;N;;0;0;0;NO;Data/Hora do bloqueio do device pelo usu�rio SET;SYS_C00247361 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE;0;N;8;TM_DESBLOQUEIO;DATE;7;Y;;0;0;0;NO;Data/Hora do desbloqueio do device pelo usu�rio SET; (: )
SUANOTA;APP_BLACK_LIST_DEVICE;0;N;2;TX_MOTIVO_BLOQUEIO;VARCHAR2;500;N;;0;0;0;NO;Texto do motivo do bloqueio do device;SYS_C00247357 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;0;N;5;CD_USUARIO_BLOQUEIO;VARCHAR2;150;N;;0;0;0;NO;Usu�rio SET que bloqueou o device;SYS_C00247366 (C: ENABLED)
SUANOTA;APP_BLACK_LIST_DEVICE_HIST;0;N;7;CD_USUARIO_DESBLOQUEIO;VARCHAR2;150;Y;;0;0;0;NO;Usu�rio SET que desbloqueou o device; (: )
